"Landlord","Job Title","Company","Address","Neighborhood","Units","Total Infractions","A Class","B Class","C Class","I Class","City","State"
"Freud Filip","Head Officer","New York Affordable HSG III Assoc III","88-22 Parsons Boulevard Queens","Queens",37,144,27,98,19,,"New York City","NY"
"Gabriel Plummer","Officer","Arthur A Browne","874 GREENE AVENUE Brooklyn","Brooklyn",8,153,18,72,62,1,"New York City","NY"
"Francisco German","Head Officer","1770-1774 TOWNSEND AVE HDFC","1770 TOWNSEND AVENUE Bronx","Bronx",57,178,37,102,39,0,"New York City","NY"
"Francisco Diaz","Head Officer","500-506 West 172 Street Holdings LP","2244 Amsterdam Avenue Manhattan","Manhattan",18,126,6,58,62,0,"New York City","NY"
"Francisco Diaz","Head Officer","500-506 West 172 Street Holdings LP","504 West 172 Street Manhattan","Manhattan",18,126,6,58,62,0,"New York City","NY"
"Finkelstein Steve","Head Officer","MAX T LLC","2785 Sedgwick Ave Bronx","Bronx",49,584,111,425,47,1,"New York City","NY"
"Finkelstein Steve","Head Officer","La Verdad LLC","2505 Aqueduct Ave Bronx","Bronx",49,180,51,79,44,6,"New York City","NY"
"Finkelstein Steve","Head Officer","Far Out Corp","1576 Taylor Avenue Bronx","Bronx",73,379,98,219,62,0,"New York City","NY"
"Evan Blum","Head Officer","Behemoth Doughnut Corp","719 ST NICHOLAS AVENUE Manhattan","Manhattan",13,88,14,58,16,0,"New York City","NY"
"Ervin Johnson Jr.",,,"1049 Bergen Street Brooklyn","Brooklyn",4,151,36,101,13,1,"New York City","NY"
"Enrique Fermin","Head Officer","721-755 Walton/ Gerald LLC","735 Walton Avenue Bronx","Bronx",109,374,85,237,52,0,"New York City","NY"
"Erika Holmes",,,"298 East 150 Street Bronx","Bronx",9,576,104,336,135,1,"New York City","NY"
"Edwin Miranda","Head Officer","432-434 West 163rd Street Holdings","432 West 163 Street Manhattan","Manhattan",30,209,30,127,52,0,"New York City","NY"
"Edwin Miranda","Head Officer","82-84 Wadsworth Avenue LP","84 Wadsworth Avenue Manhattan","Manhattan",26,139,33,62,44,0,"New York City","NY"
"Edwin Miranda","Head Officer","565 West 139 Street LP","565 West 139 Street Manhattan","Manhattan",35,321,112,137,72,0,"New York City","NY"
"Dominick Fazzolari",,,"134 West Houston Street Manhattan","Manhattan",6,99,21,63,15,0,"New York City","NY"
"Dora Josovich",,,"3014 Brighton 8 Street Brooklyn","Brooklyn",2,100,16,75,9,0,"New York City","NY"
"Dran Vataj","Head Officer",,"2856 WEBB AVENUE Bronx","Bronx",25,294,47,196,51,0,"New York City","NY"
"Rich Laubsch","Head Officer","Heath Ave LLC","2709 HEATH AVENUE Bronx","Bronx",37,230,60,140,30,0,"New York City","NY"
"Richard Longobardi","Head Officer","Richard Longobardi","1725 Harman Street Queens","Queens",6,65,11,49,5,0,"New York City","NY"
"Radhames Peralta",,,"319 Lewis Avenue Brooklyn","Brooklyn",3,41,4,32,5,0,"New York City","NY"
"Rafael Fernandez",,,"578 Williams Avenue Brooklyn","Brooklyn",4,104,26,57,19,2,"New York City","NY"
"Ramon Santos","Head Officer","550 West Dominew Corp","677 Dawson Street Bronx","Bronx",5,54,14,27,6,0,"New York City","NY"
"Raymond Laguna","Head Officer",,"701 Prospect Avenue Bronx","Bronx",4,74,18,23,32,1,"New York City","NY"
"Ricardo Alicea","Head Officer","Punjab Realty CORP","2114 Daly Avenue Bronx","Bronx",28,198,55,101,42,0,"New York City","NY"
"Ricardo Jackson","Head Officer",,"530 Jefferson Avenue Brooklyn","Brooklyn",2,25,3,9,13,0,"New York City","NY"
"Derienzo Harold","Head Officer","Shkreli Martin","928 Kelly Street Bronx","Bronx",9,175,17,60,97,1,"New York City","NY"
"Derienzo Harold","Head Officer","Shkreli Martin","924 Kelly Street Bronx","Bronx",9,313,29,230,54,0,"New York City","NY"
"Diana Alleyne",,,"106-19 177 Street Queens","Queens",4,91,16,54,19,2,"New York City","NY"
"Derienzo Harold","Head Officer","Kelly Street Realty Inc","935 Kelly Street Bronx","Bronx",32,965,180,511,274,0,"New York City","NY"
"Denny Caraballo","Head Officer","446 West 164 Street Holdings LP","446 West 164th Street Manhattan","Manhattan",20,112,15,86,11,0,"New York City","NY"
"Denny Caraballo","Head Officer","618 Acad Street LP","618 Academy Street Manhattan","Manhattan",35,97,24,40,33,0,"New York City","NY"
"Denny Caraballo","Head Officer","880 St. Nicholas Avenue Holdings","880 St. Nicholas Avenue Manhattan","Manhattan",37,267,48,160,59,0,"New York City","NY"
"Denny Caraballo","Head Officer","100 Audubon Holdings LP","100 Audubon Avenue Manhattan","Manhattan",44,231,46,137,48,0,"New York City","NY"
"Denny Caraballo","Head Officer","184 Nagle Avenue Holdings LP","184 Nagle Avenue Manhattan","Manhattan",49,194,24,115,55,0,"New York City","NY"
"Cheryl Saunders","Head Officer","1016 East 174th Street LLC","1016 EAST 174 STREET Bronx","Bronx",35,198,57,120,21,0,"New York City","NY"
"Chesky Landau","Head Officer","Luisa Enterprises Realty LLC","93 Himrod Street Brooklyn","Brooklyn",6,69,11,48,10,0,"New York City","NY"
"Chinyere Okigwe","Head Officer",,"195-25 Woodhull Avenue Queens","Queens",3,75,7,48,19,1,"New York City","NY"
"Claribel Lantiqua",,,"2118 Grand Avenue Bronx","Bronx",3,149,17,118,13,1,"New York City","NY"
"Baruch Halberstan","Head Officer","1001 Woodycrest LLC","1001 Woodycrest Bronx","Bronx",61,155,33,100,25,0,"New York City","NY"
"Beaumont Beaumont",,,"392 Rockaway Parkway Brooklyn","Brooklyn",4,100,25,54,20,1,"New York City","NY"
"Berish Agron","Head Officer","20 WEST PROPERTIES LLC","20 WEST 190 STREET Bronx","Bronx",37,91,6,29,56,0,"New York City","NY"
"Bernard Neiderman","Head Officer","1229 Halsey St LLC","1229 Halsey Street Brooklyn","Brooklyn",8,47,7,35,5,0,"New York City","NY"
"Beverly Morrison","Head Officer","K.T.2. LLC","12 EAST 177 STREET Bronx","Bronx",11,136,36,76,24,0,"New York City","NY"
"Brian Hodge","Head Officer","2 Real LLC","827 Halsey Street Brooklyn","Brooklyn",6,273,39,217,16,1,"New York City","NY"
"Brian Ritter","Head Officer","St. Nicholas Avenue 974 LP","974 St. Nicholas Avenue Manhattan","Manhattan",44,201,44,133,22,2,"New York City","NY"
"Budnarine Behari",,,"1041 Lowell Street Bronx","Bronx",4,32,7,24,1,0,"New York City","NY"
"Caraballo Denny","Head Officer","561 West 144 Street Holdings LP","561 West 144 Street Manhattan","Manhattan",21,116,17,45,53,1,"New York City","NY"
"Carlos Justiano","Head Officer","347 East 173rd LLC","347 EAST 173 STREET Bronx","Bronx",21,212,39,109,63,1,"New York City","NY"
"Alex Smikun","Head Officer","3225 Realty Corporation","3225 BAINBRIDGE AVENUE Bronx","Bronx",54,278,88,170,20,0,"New York City","NY"
"Allan Goldman","Head Officer","33-39 East 65th Street LLC","35 East 65th Street Manhattan","Manhattan",9,48,8,32,8,0,"New York City","NY"
"Allen Morton","Head Officer","148 W. 142 Street Corp","148 West 142 Street Manhattan","Manhattan",55,295,77,164,52,2,"New York City","NY"
"Agron Berisha","Head Officer","2490 Properties LLC","2490 DAVIDSON AVENUE Bronx","Bronx",36,269,53,140,76,0,"New York City","NY"
"A. Hatzigeorgiou","Head Officer","294 Fifth Avenue Associates LLC","294 Fifth Avenue Brooklyn","Brooklyn",7,133,54,66,13,0,"New York City","NY"
"Aaron Kuperman",,,"686 Eastern Parkway Brooklyn","Brooklyn",9,87,10,44,32,1,"New York City","NY"
"Abdouhah Qadar Zandani","Head Officer",,"890 Rockaway Avenue Brooklyn","Brooklyn",11,291,76,172,42,1,"New York City","NY"
"Abe Franzoz","Head Officer","Safe T Stucco INC","1455 BUSHWICK AVENUE Brooklyn","Brooklyn",6,28,1,5,22,0,"New York City","NY"
"Abraham Daniels","Head Officer","551 Second Avenue LLC","120 West 3rd Street Manhattan","Manhattan",18,147,26,104,17,0,"New York City","NY"
"Pashko Stanaj","Head Officer","Stanaj Realty Co","2615 JEROME AVENUE Bronx","Bronx",26,339,81,208,50,0,"New York City","NY"
"Orrim Cumberbatch",,,"1436 Atlantic Avenue Brooklyn","Brooklyn",3,46,7,31,7,1,"New York City","NY"
"Noel Rodriguez",,,"632 Coster Street Bronx","Bronx",3,28,4,15,9,0,"New York City","NY"
"Nikhil Saha",,,"88 Eldert Street Brooklyn","Brooklyn",3,49,17,29,2,1,"New York City","NY"
"Nicholas Gordon","Head Officer",,"304 10th Street Brooklyn","Brooklyn",25,208,25,140,43,0,"New York City","NY"
"Moishe Indig","Head Officer","684 Flushing Realty LLC","684 Flushing Avenue Brooklyn","Brooklyn",6,122,19,86,16,1,"New York City","NY"
"Antona Ramirez",,,"817 Bryant Avenue Bronx","Bronx",3,15,1,7,7,0,"New York City","NY"
"Sidney Newman","Head Officer","1301 Commonwealth Ave. CO LLC","1301 Commonwealth Avenue Bronx","Bronx",3,45,8,29,7,1,"New York City","NY"
"Ernesto Cortes",,,"98 Grattan Street Brooklyn","Brooklyn",6,191,66,97,28,0,"New York City","NY"
"Anthony Young","Head Officer","786 MacDonough Street Trust","786 MacDonough Street Brooklyn","Brooklyn",3,103,13,84,4,2,"New York City","NY"
"Vanessa Goans",,,"685 Hawthorne Street Brooklyn","Brooklyn",3,92,41,46,4,1,"New York City","NY"
"Miriam Stern","Head Officer","2401 Properties LLC","2401 Cortelyou Rd Brooklyn","Brooklyn",25,226,45,147,34,0,"New York City","NY"
"Louis Bombart","Officer","150 West 179th St. Assoc. LLC","150 West 179 Street Bronx, NY","Bronx",36,341,78,192,71,0,"New York City","NY"
"Louis Bombart","Officer","1950 Daly Assoc LLC","1950 Daly Avenue Bronx, NY","Bronx",56,300,82,170,48,0,"New York City","NY"
"Louis Bombart",,"150 Lefferts Ave Company LLC","150 Lefferts Avenue Brooklyn, NY","Brooklyn",53,219,25,146,48,0,"New York City","NY"
"Dwight King","Head Officer","241 Linden Boulevard, Inc","241 Linden Boulevard Brooklyn, NY","Brooklyn",8,328,52,210,64,2,"New York City","NY"
"Dwight King","Head Officer","241 Linden Boulevard, Inc","247 Linden Boulevard Brooklyn, NY","Brooklyn",6,178,25,120,32,1,"New York City","NY"
"Michael Edelstein","Head Officer","Diplomacy Realty LLC","95 West 195th Street Bronx, NY","Bronx",60,152,31,110,11,,"New York City","NY"
